"Name","ShirtNumber","Team","Spikes","Faults.x","Shots","Success..","Aces","Faults.y","Hits","Total.attempts","Average.per.set","Total"
"Bruno Lima",12,"ARG",177,50,98,54.46,6,27,128,161,0.1,199
"Amir Ghafour",10,"IRI",214,59,120,54.45,14,51,137,202,0.23,249
"Ricardo Lucarelli Souza",18,"BRA",173,54,91,54.4,23,33,175,231,0.3,210
"Sharone Vernon-Evans",10,"CAN",130,32,82,53.28,14,32,64,110,0.24,160
"Yuki Ishikawa",14,"JPN",170,40,112,52.8,11,39,116,166,0.19,193
"Victor Poletaev",15,"RUS",158,51,94,52.15,16,50,99,165,0.24,194
"Gabriele Nelli",20,"ITA",135,36,88,52.12,13,28,67,108,0.23,159
"Tsvetan Sokolov",19,"BUL",141,53,77,52.03,8,47,56,111,0.14,159
"Yoandy Leal Hidalgo",9,"BRA",161,58,99,50.63,19,52,130,201,0.25,202
"Yuji Nishida",11,"JPN",183,69,114,50,23,41,124,188,0.39,219
"Stephen Timothy Maar",7,"CAN",136,47,94,49.1,10,18,87,115,0.17,158
"Jean Patry",4,"FRA",148,66,91,48.52,0,27,99,126,0,161
"Facundo Conte",7,"ARG",138,49,101,47.92,8,45,110,163,0.14,161
"Lincoln Alexander Williams",18,"AUS",156,68,103,47.71,12,53,60,125,0.21,178
"Christian Fromm",1,"GER",133,40,108,47.33,9,27,96,132,0.14,144
"Wallace De Souza",8,"BRA",152,71,110,45.65,3,25,152,180,0.04,164
"Milad Ebadipour Ghara H.",2,"IRI",141,39,129,45.63,9,41,148,198,0.15,165
"Chuan Jiang",2,"CHN",152,56,127,45.37,6,48,92,146,0.12,177
"Qingyao Dai",1,"CHN",88,24,82,45.36,6,23,78,107,0.12,112
"Rozalin Penchev",6,"BUL",107,46,84,45.15,8,41,76,125,0.14,122
"Alexandre Ferreira",6,"POR",139,58,111,45.13,13,59,87,159,0.25,171
"Luke Smith",15,"AUS",109,29,104,45.04,11,18,119,148,0.19,131
"Purya Fayazi D.",7,"IRI",119,38,117,43.43,14,44,131,189,0.23,146
"Garrett Muagututia",18,"USA",119,49,108,43.12,16,31,151,198,0.22,148
"Federico Pereyra",2,"ARG",79,27,51,0,3,18,39,60,0.05,84
"Jan Martinez Franchi",3,"ARG",38,12,35,0,4,14,25,43,0.07,45
"Maximiliano Cavanna",4,"ARG",2,0,1,0,0,2,42,44,0,5
"Nicolas Uriarte",5,"ARG",8,1,12,0,9,8,96,113,0.15,23
"Cristian Poglajen",6,"ARG",59,23,60,0,4,21,76,101,0.07,67
"Agustin Loser",8,"ARG",50,9,38,0,5,35,71,111,0.08,81
"Sebastian Solé",11,"ARG",53,9,31,0,3,9,132,144,0.05,77
"Ezequiel Palacios",13,"ARG",93,24,81,0,9,26,63,98,0.15,107
"Pablo Crer",14,"ARG",34,7,22,0,1,9,73,83,0.02,42
"Luciano De Cecco",15,"ARG",7,5,7,0,2,13,72,87,0.03,11
"Martin Ramos",18,"ARG",56,6,28,0,0,10,104,114,0,64
"Beau Graham",1,"AUS",54,14,33,0,11,26,115,152,0.19,80
"Arshdeep Dosanjh",2,"AUS",29,3,16,0,17,29,130,176,0.3,59
"Harrison Peacock",7,"AUS",0,2,2,0,0,3,32,35,0,2
"Trent O'dea",8,"AUS",47,10,37,0,5,6,114,125,0.09,67
"Jordan Richards",10,"AUS",60,27,35,0,10,18,35,63,0.18,78
"Nehemiah Mote",12,"AUS",13,6,6,0,1,3,29,33,0.02,21
"Samuel Walker",13,"AUS",75,38,78,0,16,25,88,129,0.28,96
"James Weir",23,"AUS",27,12,14,0,5,18,56,79,0.09,43
"Elliott Viles",24,"AUS",7,10,12,0,4,7,28,39,0.07,12
"Bruno Mossa Rezende",1,"BRA",5,1,6,0,2,13,101,116,0.03,14
"Isac Santos",2,"BRA",55,8,26,0,7,34,87,128,0.09,74
"Eder Carbonera",3,"BRA",1,0,0,0,1,0,2,3,0.01,2
"Fernando Gil Kreling",6,"BRA",2,0,4,0,5,22,132,159,0.06,20
"Lucas Saatkamp",16,"BRA",82,12,38,0,6,25,135,166,0.08,106
